,x
1,1007_s_at
2,1053_at
3,117_at
4,121_at
5,1255_g_at
6,1294_at
7,1316_at
8,1320_at
9,1405_i_at
10,1431_at
11,1438_at
12,1487_at
13,1494_f_at
14,1598_g_at
15,160020_at
16,1729_at
17,1773_at
18,177_at
19,179_at
20,1861_at
21,200000_s_at
22,200001_at
23,200002_at
24,200003_s_at
25,200004_at
26,200005_at
27,200006_at
28,200007_at
29,200008_s_at
30,200009_at
31,200010_at
32,200011_s_at
33,200012_x_at
34,200013_at
35,200014_s_at
36,200015_s_at
37,200016_x_at
38,200017_at
39,200018_at
40,200019_s_at
41,200020_at
42,200021_at
43,200022_at
44,200023_s_at
45,200024_at
46,200025_s_at
47,200026_at
48,200027_at
49,200028_s_at
50,200029_at
51,200030_s_at
52,200031_s_at
53,200032_s_at
54,200033_at
55,200034_s_at
56,200035_at
57,200036_s_at
58,200037_s_at
59,200038_s_at
60,200039_s_at
61,200040_at
62,200041_s_at
63,200042_at
64,200043_at
65,200044_at
66,200045_at
67,200046_at
68,200047_s_at
69,200048_s_at
70,200049_at
71,200050_at
72,200051_at
73,200052_s_at
74,200053_at
75,200054_at
76,200055_at
77,200056_s_at
78,200057_s_at
79,200058_s_at
80,200059_s_at
81,200060_s_at
82,200061_s_at
83,200062_s_at
84,200063_s_at
85,200064_at
86,200065_s_at
87,200066_at
88,200067_x_at
89,200068_s_at
90,200069_at
91,200070_at
92,200071_at
93,200072_s_at
94,200073_s_at
95,200074_s_at
96,200075_s_at
97,200076_s_at
98,200077_s_at
99,200078_s_at
100,200079_s_at
101,200080_s_at
102,200081_s_at
103,200082_s_at
104,200083_at
105,200084_at
106,200085_s_at
107,200086_s_at
108,200087_s_at
109,200088_x_at
110,200089_s_at
111,200090_at
112,200091_s_at
113,200092_s_at
114,200093_s_at
115,200094_s_at
116,200095_x_at
117,200096_s_at
118,200097_s_at
119,200098_s_at
120,200099_s_at
121,200593_s_at
122,200594_x_at
123,200595_s_at
124,200596_s_at
125,200597_at
126,200598_s_at
127,200599_s_at
128,200600_at
129,200601_at
130,200602_at
131,200603_at
132,200604_s_at
133,200605_s_at
134,200606_at
135,200607_s_at
136,200608_s_at
137,200609_s_at
138,200610_s_at
139,200611_s_at
140,200612_s_at
141,200613_at
142,200614_at
143,200615_s_at
144,200616_s_at
145,200617_at
146,200618_at
147,200619_at
148,200620_at
149,200621_at
150,200622_x_at
151,200623_s_at
152,200624_s_at
153,200625_s_at
154,200626_s_at
155,200627_at
156,200628_s_at
157,200629_at
158,200630_x_at
159,200631_s_at
160,200632_s_at
161,200633_at
162,200634_at
163,200635_s_at
164,200636_s_at
165,200637_s_at
166,200638_s_at
167,200639_s_at
168,200640_at
169,200641_s_at
170,200642_at
171,200643_at
172,200644_at
173,200645_at
174,200646_s_at
175,200647_x_at
176,200648_s_at
177,200649_at
178,200650_s_at
179,200651_at
180,200652_at
181,200653_s_at
182,200654_at
183,200655_s_at
184,200656_s_at
185,200657_at
186,200658_s_at
